,F4_bp_alpha,F4_bp_delta,F4_bp_theta,F4_bp_gamma,F4_bp_beta,C4_bp_alpha,C4_bp_delta,C4_bp_theta,C4_bp_gamma,C4_bp_beta,E2_bp_alpha,E2_bp_delta,E2_bp_theta,E2_bp_gamma,E2_bp_beta
0,True,False,True,True,True,True,False,True,False,True,False,True,True,True,True
1,False,True,True,False,False,True,True,True,False,False,True,True,True,True,False
2,False,True,True,False,False,False,True,False,False,False,False,True,True,True,True
3,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True
4,True,True,True,False,False,True,True,True,False,True,True,True,True,True,False
5,True,True,False,False,True,True,True,False,True,False,True,True,False,True,False
6,True,True,True,False,False,False,True,False,False,False,True,True,False,True,False
7,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True
8,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False
9,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
10,False,False,True,True,True,False,True,True,False,False,False,True,True,True,False
11,True,False,False,False,True,True,True,True,False,True,True,True,True,False,False
12,False,True,False,False,True,False,False,False,False,False,False,False,True,True,True
13,False,True,True,True,False,False,False,True,False,False,False,True,True,True,False
14,False,False,False,True,True,False,False,False,True,True,True,True,True,False,False
15,False,True,False,True,False,False,True,False,True,True,False,True,True,True,True
16,False,False,True,False,False,False,True,True,False,True,True,False,True,False,False
17,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True
18,False,False,True,False,True,False,False,False,False,False,True,True,True,False,True
19,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
20,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False
21,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True
22,False,False,True,True,True,True,True,True,False,True,True,False,False,True,True
23,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
24,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True
25,False,False,True,False,False,False,False,False,False,True,False,True,True,False,True
26,False,True,False,False,True,False,True,False,False,True,False,True,True,True,True
27,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False
28,False,False,False,False,False,True,False,False,True,True,False,True,False,False,True
29,True,False,False,True,True,True,False,False,False,False,True,False,True,False,True
30,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True
31,True,True,False,True,False,True,False,False,False,False,False,True,False,True,False
32,True,False,False,False,True,True,False,True,False,False,True,False,True,True,True
33,True,False,True,False,True,True,True,True,False,True,True,False,True,False,True
34,True,False,True,False,True,True,True,True,False,True,True,False,False,False,True
35,False,False,False,False,True,False,True,False,True,True,False,False,False,False,False
36,True,True,True,False,False,False,False,False,False,False,False,True,False,True,False
37,True,False,False,False,False,True,False,False,False,True,True,False,True,False,True
38,False,True,False,True,True,True,True,False,True,True,True,False,False,True,True
39,False,True,True,True,False,False,True,False,True,False,True,False,False,True,False
40,False,True,False,True,False,False,True,True,True,True,False,True,True,True,True
41,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True
42,True,False,True,True,True,True,True,False,True,True,True,False,False,False,True
43,True,True,False,True,True,False,False,True,False,False,True,True,True,False,False
44,True,True,True,True,False,False,True,False,True,False,False,True,True,True,False
45,True,False,False,False,False,True,False,False,False,False,True,True,True,False,False
46,True,False,False,True,False,True,True,True,True,True,True,True,False,False,False
47,False,True,True,True,True,False,True,True,True,True,False,True,False,True,False
48,True,True,True,False,False,True,True,False,True,False,True,False,True,False,True
49,False,True,False,True,False,False,False,False,False,False,True,False,True,False,True
50,True,False,False,True,True,False,True,False,False,False,True,True,True,True,True
51,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True
52,True,False,True,False,True,True,False,False,False,True,True,False,False,False,True
53,False,False,False,False,False,True,True,False,False,True,True,True,True,False,False
54,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False
55,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
56,False,False,False,False,False,False,True,True,True,False,True,False,True,True,False
57,False,True,True,False,False,False,True,True,True,True,False,True,True,False,True
58,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
59,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
60,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
61,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True
62,False,False,True,False,True,True,True,True,False,True,True,False,False,False,False
63,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False
64,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True
65,True,True,True,False,False,True,False,True,True,False,True,False,False,False,False
66,True,False,False,True,True,True,False,True,True,True,True,False,False,False,True
67,False,True,False,False,True,True,False,False,True,True,True,False,False,True,False
68,False,True,False,True,True,True,False,False,True,True,False,False,False,True,False
69,True,True,True,True,False,True,True,True,True,True,True,False,False,True,True
70,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True
71,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True
72,False,False,False,True,True,True,False,False,True,True,True,False,True,True,True
73,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True
74,True,False,False,True,False,True,False,False,True,False,True,False,False,True,True
75,True,True,False,False,True,True,False,False,True,False,False,False,False,True,True
76,True,False,False,True,True,False,True,True,True,True,False,True,True,True,True
77,False,True,False,False,True,False,True,True,True,True,False,False,True,False,False
78,False,True,True,False,False,False,True,True,True,True,False,True,False,True,False
79,True,False,True,True,False,False,True,True,False,False,False,False,False,False,False
80,True,False,True,False,False,True,False,False,True,False,False,True,True,False,False
81,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False
82,False,True,True,True,False,False,True,True,True,False,False,False,False,True,False
83,False,False,True,True,True,True,False,True,True,True,False,False,False,True,False
84,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True
85,True,False,False,True,False,True,False,True,True,False,True,False,False,False,True
86,False,True,True,True,True,False,True,True,True,True,False,True,False,False,True
87,True,True,True,True,True,True,False,True,True,True,True,False,False,False,True
88,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True
89,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False
90,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
91,False,True,True,True,True,False,True,True,True,True,False,False,True,True,False
92,False,True,True,True,True,True,False,True,True,False,False,False,False,False,False
93,False,True,False,True,True,False,True,False,True,False,False,True,False,True,False
