feature,score
mfcc_0_std,0.07867216763663437
tempo,0.06031074232154483
mfcc_0_mean,0.05101160188289932
mfcc_6_mean,0.04533917802785842
mfcc_9_mean,0.038590726394418136
mfcc_7_mean,0.03694931951567851
mfcc_6_std,0.03329807700592773
zcr_mean,0.03278591142310322
mfcc_7_std,0.030702819570777456
mfcc_4_std,0.030672017476589403
mfcc_3_mean,0.03049689375234916
spectral_flatness,0.02940608148752347
mfcc_5_std,0.029302236805117853
mfcc_5_mean,0.02862062662491827
mfcc_12_std,0.028035197797205168
spectral_contrast,0.027568444443720877
mfcc_12_mean,0.027536666069914447
mfcc_1_std,0.024413764857528303
mfcc_11_std,0.023922094755696698
mfcc_2_std,0.02211929203252698
mfcc_8_std,0.02160777021449626
energy_std,0.021045100250557294
mfcc_2_mean,0.020635382027426524
beat_strength,0.020114267069431962
mfcc_11_mean,0.01925682786578781
energy_mean,0.01871720923525291
chroma_mean,0.018157888355567413
spectral_rolloff,0.01810021498400859
mfcc_1_mean,0.016073692915595215
mfcc_10_mean,0.015440041135444305
mfcc_8_mean,0.01482003676883681
mfcc_4_mean,0.014649534137678371
dynamic_range,0.014089956919350284
chroma_std,0.01380023036783282
mfcc_3_std,0.012214314523337782
spectral_centroid,0.011375332065953345
mfcc_9_std,0.011256381239065758
mfcc_10_std,0.008891960042443902
