name,tempo,beat_strength,energy_mean,energy_std,dynamic_range,chroma_mean,chroma_std,spectral_centroid,spectral_contrast,spectral_rolloff,spectral_flatness,mfcc_0_mean,mfcc_0_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,zcr_mean,label
Everyday Life,123.046875,0.98115724,0.025713097,0.014984966,0.083675906,0.40854073,0.2584336,1537.7311192388997,23.296503280867615,2568.20947038869,0.003998373,-312.5934,90.68539,133.70564,22.720493,-52.719814,15.672466,2.3566208,12.039858,-11.893399,9.503277,-25.68958,8.79932,-27.55424,7.0237823,-14.820281,6.473634,-13.1256895,6.9982495,-8.680209,6.27554,-15.094731,6.2712874,-0.86431146,7.043264,-0.7885053,6.9429812,0.09807159140383127,0
Burden In My Hand,123.046875,1.3362745,0.04183529,0.017011812,0.06882493,0.4595825,0.2652045,2551.8699129715933,22.23450610739363,4825.862485336445,0.06469656,-219.90977,135.57202,76.45497,30.12644,-32.950054,26.76969,2.4046307,13.0501995,-8.6592245,14.738546,2.9997916,11.863566,-4.8530684,14.036801,-6.558852,10.932695,-9.18275,9.610903,-3.6967638,8.544387,-3.8252225,8.088765,-3.495393,8.881334,-9.999342,8.534403,0.14781203137093654,0
Pyramid Song,67.99958881578948,0.9534397,0.12800449,0.06923103,0.30391908,0.28898236,0.2791874,839.8236177410673,23.02705595535252,1375.3750166287732,0.009708311,-217.99496,49.709106,188.06981,25.905552,-4.073614,13.07283,12.914819,7.89643,6.5238843,7.088969,3.2738547,6.2092514,-2.9114995,6.4580016,-7.6495442,5.7493935,-9.178065,5.2372103,-7.5600996,6.4949284,-10.212765,6.0186815,-8.773573,5.335854,-8.033224,5.3234754,0.036183454672987614,0
On The Mend,135.99917763157896,1.2018077,0.22214222,0.058194973,0.41307536,0.31637028,0.25353116,1527.7383587731986,24.206465085505226,3508.387118596411,0.005587733,-99.591675,49.377926,120.25844,28.24558,16.43359,12.685496,30.417068,9.298446,19.493061,8.426458,21.431477,6.6665516,1.3763099,7.7836113,9.662575,6.1318,-2.891592,6.8677173,3.8480055,7.888925,-13.473984,8.385788,1.7240908,5.559725,-0.029373784,6.815355,0.04559118312209752,1
Mica Van Gogh,103.359375,1.2795798,0.15978199,0.05216697,0.2878482,0.5250159,0.24694513,3453.8181045803044,20.013816035508395,6939.616370422552,0.1046998,-47.475166,86.94013,39.646225,21.504967,8.994677,17.772448,35.6559,18.57671,8.06726,11.676922,8.801924,10.784496,1.7358195,9.5268955,12.09749,8.811731,0.4028392,8.581281,3.7998962,7.7671094,-0.05838778,7.1534076,2.3933387,7.2600565,-3.2289379,6.5738826,0.191170801688274,1
Fallin',95.703125,1.1149362,0.08069614,0.0693891,0.34999192,0.35341978,0.3089556,1746.3558462493581,24.13208412018764,3226.1638251620548,0.20959643,-269.9215,146.67952,69.773796,54.80632,-15.516968,29.160494,16.578735,21.972597,0.89380914,13.0222435,-10.794505,26.132044,-2.9586499,12.159608,-7.7698927,11.739649,-8.029661,12.946412,3.5975864,11.018093,-15.395278,15.652665,-2.1109545,8.628671,-4.354525,10.935416,0.08248400614357586,1
Memory,161.4990234375,1.2212322,0.027608912,0.011698711,0.07089504,0.23256603,0.28303087,1834.7866998312456,26.53398175448354,3792.09373639464,0.010774879,-355.23618,78.66095,94.18907,33.812347,16.447254,17.030266,40.991722,22.797132,6.2927704,12.740037,0.6540934,12.614763,8.736552,10.578895,7.7959833,10.969388,-7.704002,11.658363,5.230674,12.40557,-12.200033,9.16397,-2.3264606,7.898326,-5.2012863,8.771672,0.06771274247774768,1
Stupido Hotel,95.703125,1.3599772,0.05945776,0.047080055,0.24197733,0.35107937,0.2944409,2610.5285068080866,25.0389744072481,6353.636580428841,0.024795406,-253.223,79.66916,70.8799,31.888084,46.733463,17.47433,33.723907,16.280195,8.918266,13.28276,15.349614,12.055818,-5.6563835,11.522409,9.620001,12.038625,-9.556092,10.049049,17.472822,12.026297,-3.6534035,8.513494,8.813751,9.350851,0.11542551,8.713865,0.09619216210332818,0
Bella,99.38401442307692,1.5605466,0.20171021,0.07590261,0.41758308,0.5475351,0.2466322,2085.810575567624,22.968900037909684,4785.37939679881,0.017540565,-73.66838,71.22998,101.55578,26.468918,11.326397,21.044579,18.15212,13.42255,-3.6782658,13.359965,12.149606,9.560536,1.4163198,10.868064,3.331848,8.431207,-1.803408,7.821749,-0.31731194,9.009004,-3.0226648,9.670026,3.84327,8.885162,-1.5743253,7.6574116,0.07870058230940402,1
Il mondo è mio,57.421875,1.0128417,0.027435698,0.023913976,0.10270065,0.2984458,0.2877152,1278.8158683258243,24.63813178583112,2344.269157858456,0.01944809,-379.91623,110.635185,132.78442,39.063812,16.192257,19.773054,14.2908325,14.138132,1.7896585,12.307677,-7.2508874,12.438303,-8.952748,8.391726,-4.6090612,12.568491,-10.216179,10.935849,-3.196683,8.276055,-6.8890195,8.281313,-4.578111,9.037281,-5.6878657,8.543516,0.053243442216524765,1
Ridere,117.45383522727273,1.3754178,0.11977667,0.084612824,0.4182678,0.36612472,0.29390725,2058.1892237062643,25.27770288686902,4177.866403680098,0.012846077,-148.8378,86.01198,101.77137,39.956814,-27.286137,24.852905,0.19068639,25.721672,-11.000771,16.802343,-15.723059,18.769987,-17.464672,14.656364,-7.707419,11.482352,-19.503616,11.980386,-9.538502,13.364504,-16.978003,10.049923,-4.752791,11.95978,-4.341047,13.773497,0.09805345092395511,0
Vikings Attack,129.19921875,1.0364745,0.1123436,0.0619381,0.26514497,0.52669376,0.2687685,568.40381509776,22.08610708682104,1031.2604307759289,0.010690119,-290.49603,90.17831,176.1793,48.82,21.523289,20.643349,24.498919,12.420753,16.21911,8.555345,15.383197,6.3107824,9.594371,6.728941,7.5084105,6.606935,11.436808,6.607353,4.849944,8.208187,5.758471,7.018762,2.989772,6.307695,1.0118614,6.74656,0.017701707019156347,0
The Show Must Go On - Remastered 2011,161.4990234375,1.2028059,0.086486146,0.037987456,0.21741234,0.30697957,0.2755005,2149.6439282712854,22.839400366583813,4483.614554862858,0.016142447,-128.68845,57.616776,107.16361,27.075724,-17.584572,19.368269,20.061827,10.127664,-8.78864,10.645472,5.7616067,10.790787,-7.550775,8.838351,1.2972096,6.60794,-10.7042885,7.803532,4.628521,7.8530536,-8.608008,6.7431736,0.07323241,6.247316,-6.437871,6.8984647,0.09568158318014706,1
Ho amato tutto,95.703125,0.82063395,0.031328637,0.02676132,0.16650724,0.29877263,0.29609615,1002.2715871394423,24.92207705068334,1896.8801964916313,0.015839126,-376.75528,106.897575,149.74515,51.823723,32.836796,30.978271,7.3171,14.024507,3.6692429,14.668376,5.439267,9.974374,2.0990906,9.827856,-4.621361,7.837659,-8.122473,7.4837055,-3.4525552,7.369877,-5.87687,7.0151434,-7.501891,6.079339,-8.634181,5.99153,0.0486947168875774,1
Bella,99.38401442307692,1.5605466,0.20171021,0.07590261,0.41758308,0.5475351,0.2466322,2085.810575567624,22.968900037909684,4785.37939679881,0.017540565,-73.66838,71.22998,101.55578,26.468918,11.326397,21.044579,18.15212,13.42255,-3.6782658,13.359965,12.149606,9.560536,1.4163198,10.868064,3.331848,8.431207,-1.803408,7.821749,-0.31731194,9.009004,-3.0226648,9.670026,3.84327,8.885162,-1.5743253,7.6574116,0.07870058230940402,1
